MST|RFID
5760|518836
5762|537009
5768|9230298
5809|9215037
5916|6257277
5917|9224530
5942|9241193
60019|1498946
6029|3130186
6033|6643536
6039|9225202
6052|3116143
6068|3109258
6098|3109255
6099|10357328
6105|3116155
6181|3138303
626|12022767
6264|4143225
6318|3905787
6320|15797087
6369|1437539
639|1472616
6441|1494469
6570|9395229
66|15433742
66001|9546479
66002|9545793
66003|9546680
66004|9547151
66005|9548010
66006|9547346
66007|9547805
66008|8526461
66009|8551477
66010|8555726
66011|8589084
66012|8585101
66013|8603621
66014|7571538
66015|7578541
66016|7605317
66017|1793502
66018|1844903
66020|8547587
66021|7588169
6661|7681939
6716|6671336
6735|4310180
6738|6400895
6755|6586325
6783|6380571
6950|753583
6952|624025
7069|15459127
7080|1484234
7087|9543919
71|12826421
7102|8414022
7121|605026
7130|560047
7140|458089
7144|605826
7146|660498
7188|504822
72112|1483717
7226|9558532
7268|3399740
7279|10361391
7316|1489239
7339|1500096
7343|528135
7345|9230908
7369|2773066
7389|9494775
7421|15583095
7426|6641010
7432|6347233
7462|6371071
7470|9558015
7510|6524805
7528|1448381
7531|1490552
7533|2806538
7613|15799716
7661|1428337
7696|12332560
7698|15846962
77006|9518838
77012|1666183
77017|3936101
77018|3935959
77028|4155460
77032|15781435
77033|9503534
77036|15796284
77038|15431486
77039|10386640
77047|1498018
77050|1450558
77056|6380615
77057|6651977
77058|6649158
77059|6380617
77060|9117263
77065|9526273
77066|6380504
77067|8995521
77070|6380489
77071|1823516
77074|1466096
77077|1435135
77080|1495083
77083|1425806
77091|1433352
77092|1428379
77101|1788778
77102|1762241
77103|6675106
77105|6590771
77113|15788076
77114|15812386
77115|1785631
77116|1472111
77130|10325283
77131|7579930
77132|7560050
77133|15762774
77134|15779960
77135|7569440
77142|8591112
77144|9500170
77146|10358852
77147|10324374
77150|9534653
77154|1493203
77162|9495540
77164|9529267
77168|9518864
77170|9526481
77176|1781471
77183|1781162
77184|15767023
77187|1845671
77191|9527913
77194|7573583
77195|9547957
77196|9547848
77197|1499635
77198|9537658
77199|9531585
77200|8542970
77201|9543267
77202|15398312
77203|10396557
77204|10330276
77205|10334363
77207|15768954
77208|1465189
77209|1427477
7721|12356238
77210|1430229
77211|1459392
77212|1483717
77213|1473598
77214|1426236
77215|1429282
77216|1447756
77217|1481686
77218|1498992
77219|1466641
7722|10346828
77220|1483558
77221|1504047
77222|1474164
77223|1429739
77224|1506415
77225|1471880
77226|1491746
77227|1460896
77229|1440136
7777|894814
7787|1442110
7805|3381831
7842|9014140
8|12810192
8033|12311112
8044|4234500
8098|7628398
81|5547268
8134|10567785
8167|6257436
8221|16728778
8294|3679146
8326|6642835
8431|1436303
8464|1630619
8469|10315004
8500|6314543
8602|5422102
8627|6656949
864|1444112
8783|8982030
8796|9646037
8831|491264
8843|4974311
8881|9118309
8897|6644124
8957|10567175
8997|12327895
9041|4958827
9073|7603095
9106|8987145
9108|15800123
9109|10543996
9116|9012418
9122|8990169
9127|8993423
9129|9118303
9139|8986367
9143|8985406
9153|7632193
9168|9549265
9175|9002196
9188|1504061
9189|1599171
9202|9008954
9212|9006680
9219|1484433
923|10530091
924|8999164
9242|9560016
9271|9010939
9280|8986960
9282|9008958
9297|9726338
9321|1499118
936|15449848
9369|9001134
9384|6380584
9388|9010488
9389|8988847
9434|5537906
944|10395369
9449|1814202
9489|8989871
95|9529471
9512|10964785
9514|6638937
9540|6656573
9551|6677182
9556|9549193
9575|6646284
9579|6652691
9583|6664957
9590|15125439
9592|6655489
9594|6668001
9595|6650357
9597|6671249
9599|6673821
9601|6656240
9603|6671997
9610|1638989
9622|8986295
9628|8985232
9649|9004066
9658|6662566
9693|6654849
9706|6659365
9707|8992938
9753|6675416
9767|1440786
9792|6677573
9802|6673454
9900|6656491
99001|6654536
99002|6648375
99003|6644620
99005|6642270
99007|6661382
99008|6655081
99009|6661077
99010|6657247
99011|6638500
99012|6669851
99013|6637610
99014|6639387
99015|6673270
99016|6665481
99017|6659527
99018|6641277
99019|6657790
99020|6653443
99021|6657763
99022|6650455
99023|6651304
99024|6670075
99025|6662479
99026|5222691
99027|4292096
99028|6643459
99029|6651766
99030|6640168
99031|6642139
99032|4014566
99033|16724080
99034|6556888
99035|8983993
99036|6654324
99037|6635197
99038|6670305
99039|8989751
99040|6642024
99041|1480026
99042|1844221
99043|1446176
99044|1452520
99045|1425128
99046|1427026
99047|1448901
99048|1454946
99049|1481485
99050|1490569
99051|1449632
99052|1504065
99053|1475085
9918|6676693
9959|6654225
999999980|6655081
999999981|6661382
999999982|6644620
999999983|6642270
999999984|6657247
999999985|6638500
999999986|15815962
999999987|6661077
999999988|6669851
999999989|1446176
